Kategoriename;Pflichtattribut
3D-Brille
Videobrille
3D-Drucker;Geräteart laut ElektroG
3D-Drucker-Stift
Druckluft-Meißelhammer;Geräteart laut ElektroG
Abbruchhammer;Geräteart laut ElektroG
Akku-Meißelhammer;Geräteart laut ElektroG
Treppenstufen-Seitenblende
Heizungsverkleidung
Gurtwickler-Abdeckplatte
Blende
Fenster-Set Erweiterung
Verblendungssatz
Griffleiste
Ofen-Frontblende
Kanalverlängerung
Rasenmähroboter-Cover
Siphonverkleidung
Abdeckboden
Briefeinwurfblende
Waschtisch-Halbsäule
Abdeckungsheber
Abheftstreifen
Zusatzklapptisch
Laufband-Ablage
Einhängetritt
Anschluss-Set
Terrassenablauf
Siebventil
Ab- und Überlaufgarnitur
Ab-Überlaufgarnitur
Haus- und Hofablauf
Bodenablauf
Anschlussgarnitur
Balkon- und Terrassenablauf
Duschablauf
Schaftventil
Ablaufventil
Staubabsauger;Geräteart laut ElektroG
Absauganlage;Geräteart laut ElektroG
Absaugstation;Geräteart laut ElektroG
Nagelstaubsauger;Geräteart laut ElektroG
Golftee
Endkappe (Abschlusskappen)
Ventilkappe
Radmarkierer
Griffkappe
Pavillonhaube
Abdeckkappe
Umsteller (Absperrventile)
Rückschlagventil
Geräteventil
2-Wege-Ventil (Absperrventile)
Füllventil (Absperrventile)
Auslaufventil (Absperrventile)
Verschlussstopfen
Bewässerungsventil
Eckventil (Absperrventile)
Regulierventil
3-Wege-Ventil
Entwässerungsventil
Absperrventil
Thermostatventil
4-Wege-Ventil
Durchflussschalter (Absperrventile)
Absperrschieber (Absperrventile)
Kugelhahn (Absperrventile)
Bypass-Set
Kassetten Player
Portabler DVD-Player
Stereo-CD Player
Blu-ray-Player
Kompaktanlage (Abspielgeräte)
DVD-Rekorder
Fitness Media Player
Blu-ray-Rekorder
DJ-CD-Player
CD-Player (Abspielgeräte)
DVD-Player
Distanzplatte
Abstandshalter
Lackierspitzen
Ausdrehstützen
Anhänger-Abstellstütze
Schleppnetz
Kugelgelenkabzieher
Kurbelabzieher
Kettenpeitsche
Radnabenabzieher
Wischerarmabzieher
Zahnkranzabzieher
Kassettenabzieher
Audio-Adapter
Gaming-Adapter
Smartphone-Adapter
Modulkarte
Notebook-Adapter
Softbox-Adapter
Audio- & Video-Adapter
KFZ-Adapter
Anhänger-Adapter
Medienkonverter
Bit-Adapter
